X,Y,org.esa.sn,ShipDetect,geometry_P,Detected_x,Detected_y,Detected_l,Detected_1,Detected_w,Detected_2,style_css_,icon_url
13.5772310413539,44.0347950086829,ID00000013,target_012,POINT (12.474383821292456 43.78226733585638),"9302","1162",44.034795008682941,13.577231041353928,60.000000000000000,60.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.5533877778839,44.0559140493874,ID00000014,target_013,POINT (12.474380468015491 43.782268843266536),"9157","1423",44.055914049387390,13.553387777883906,110.000000000000000,170.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.7101517601411,44.0341165922937,ID00000015,target_014,POINT (12.474399733138124 43.782269501567534),"10349","971",44.034116592293678,13.710151760141054,110.000000000000000,110.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.7622233696908,44.0691595521336,ID00000016,target_015,POINT (12.474405116259462 43.782273524793176),"10829","1277",44.069159552133584,13.762223369690814,130.000000000000000,250.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.7810545062806,44.0770362957763,ID00000017,target_016,POINT (12.474407178259645 43.7822745482007),"10993","1336",44.077036295776296,13.781054506280620,230.000000000000000,290.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.7572258304749,44.0859706133778,ID00000018,target_017,POINT (12.474404114817656 43.782274953904405),"10823","1465",44.085970613377832,13.757225830474869,150.000000000000000,170.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.8026925214295,44.047175110658,ID00000019,target_018,POINT (12.47441047796679 43.782272217348265),"11104","984",44.047175110657967,13.802692521429460,120.000000000000000,180.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.8164433562553,44.0499965205995,ID00000020,target_019,POINT (12.474412051666038 43.782272704851586),"11218","996",44.049996520599528,13.816443356255256,140.000000000000000,250.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.7909459943932,44.0639128757277,ID00000021,target_020,POINT (12.474408676163463 43.78227353267522),"11045","1181",44.063912875727745,13.790945994393242,130.000000000000000,250.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
14.0049570645093,44.0717488829376,ID00000022,target_021,POINT (12.474434065952396 43.78227781223228),"12747","974",44.071748882937577,14.004957064509343,140.000000000000000,170.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.5885970684194,44.0868330707171,ID00000023,target_022,POINT (12.474383927182965 43.7822722119149),"9496","1707",44.086833070717063,13.588597068419432,40.000000000000000,30.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.5882532025224,44.0881818522733,ID00000024,target_023,POINT (12.474383853661935 43.782272327529235),"9496","1722",44.088181852273344,13.588253202522415,140.000000000000000,230.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.5882532025224,44.0881818522733,ID00000025,target_024,POINT (12.474383853661935 43.782272327529235),"9496","1722",44.088181852273344,13.588253202522415,140.000000000000000,230.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
